group group.name disease flag n.target n.disease n.overlap s z
DB00775 Tirofiban multiple.sclerosis False 2 69 0 NA -2.166311
DB00775 Tirofiban coronary.disease True 2 37 0 NA -3.061034
DB00775 Tirofiban lymphoma.non.hodgkin False 2 22 0 NA 0.582284
DB00775 Tirofiban hematologic.diseases False 2 188 2 NA -3.887666
DB00775 Tirofiban skin.diseases False 2 278 0 NA -0.737502
DB00775 Tirofiban blood.coagulation.disorders False 2 40 2 NA -6.106467
DB00775 Tirofiban cardiovascular.diseases False 2 330 0 NA -0.675012
DB00775 Tirofiban amyotrophic.lateral.sclerosis False 2 21 0 NA 0.341289
DB00775 Tirofiban cardiomyopathy.dilated False 2 29 0 NA 0.385745
DB00775 Tirofiban lung.diseases False 2 71 0 NA -0.422530
DB00775 Tirofiban bacterial.infections False 2 26 0 NA 0.253016
DB00775 Tirofiban diabetes.mellitus.type.1 False 2 82 0 NA -0.631950
DB00775 Tirofiban arthritis.rheumatoid False 2 42 0 NA 0.572917
DB00775 Tirofiban liver.cirrhosis.biliary False 2 23 0 NA 0.313667
DB00775 Tirofiban coronary.artery.disease False 2 31 0 NA -1.554137
DB00775 Tirofiban leukemia.lymphoid False 2 66 0 NA -0.439762
DB00775 Tirofiban arterial.occlusive.diseases False 2 44 0 NA -1.313573
DB00775 Tirofiban heart.diseases False 2 167 0 NA -1.278806
DB00678 Losartan bone.diseases.metabolic False 1 27 0 NA -0.312374
DB00678 Losartan colorectal.neoplasms False 1 42 0 NA 0.314226
DB00678 Losartan eye.diseases False 1 231 0 NA -1.200816
DB00678 Losartan collagen.diseases False 1 25 0 NA -0.318904
DB00678 Losartan leukemia.myeloid.acute False 1 43 0 NA -1.998224
DB00678 Losartan kidney.diseases True 1 144 1 NA -3.867799
DB00678 Losartan epilepsy False 1 25 0 NA 1.726411
DB00678 Losartan joint.diseases False 1 79 0 NA 0.319370
DB00678 Losartan vascular.diseases False 1 181 0 NA -1.255134
DB00678 Losartan neuroendocrine.tumors False 1 24 0 NA -0.017783
DB00678 Losartan parkinsonian.disorders False 1 31 0 NA -0.042295
DB00678 Losartan hypopigmentation False 1 22 0 NA -0.082356
DB00678 Losartan intestinal.neoplasms False 1 42 0 NA 0.325875
DB00678 Losartan thyroid.diseases False 1 30 0 NA -2.221404
DB00678 Losartan diabetes.mellitus False 1 162 0 NA 0.522257
DB00678 Losartan dementia False 1 42 0 NA 0.166201
DB00678 Losartan mycobacterium.infections False 1 22 0 NA -0.226660
DB00678 Losartan arrhythmias.cardiac False 1 30 0 NA -0.315752
DB00678 Losartan prostatic.neoplasms False 1 61 0 NA 0.232299
DB00678 Losartan head.and.neck.neoplasms False 1 35 0 NA -1.888769
DB00678 Losartan inflammatory.bowel.diseases False 1 119 0 NA -1.609675
DB00678 Losartan gastrointestinal.neoplasms False 1 72 0 NA 0.521085
DB00678 Losartan asthma False 1 36 0 NA -0.010398
DB00678 Losartan alzheimer.disease False 1 29 0 NA -0.027126
DB00678 Losartan metabolism.inborn.errors False 1 289 1 NA -3.067860
DB00678 Losartan macular.degeneration False 1 44 0 NA -0.220847
DB00678 Losartan breast.neoplasms False 1 40 0 NA 0.212236
DB00678 Losartan hypersensitivity False 1 45 0 NA 0.092734
DB00678 Losartan adenocarcinoma False 1 32 0 NA 0.142611
DB00678 Losartan bone.diseases False 1 144 0 NA 0.572302
DB00678 Losartan insulin.resistance False 1 26 0 NA -0.368315
DB00678 Losartan motor.neuron.disease False 1 31 0 NA 0.135002
DB00678 Losartan crohn.disease False 1 71 0 NA -1.812966
DB00678 Losartan endocrine.system.diseases False 1 291 0 NA -0.872267
DB00678 Losartan keratosis False 1 21 0 NA -0.234670
DB00678 Losartan psoriasis False 1 54 0 NA 0.196085
DB00678 Losartan varicose.veins False 1 20 0 NA -0.428777
DB00678 Losartan spinal.cord.diseases False 1 59 0 NA 0.283158
DB00678 Losartan neoplasms False 1 482 0 NA -0.336511
DB00678 Losartan rheumatic.diseases False 1 59 0 NA 0.223438
DB00678 Losartan pancreatic.diseases False 1 24 0 NA -0.077491
DB00678 Losartan myocardial.ischemia False 1 43 0 NA -0.085805
DB00678 Losartan autoimmune.diseases False 1 243 0 NA -1.029851
DB00678 Losartan kidney.neoplasms False 1 20 0 NA -0.111781
DB00678 Losartan arthritis False 1 76 0 NA 0.347735
DB00678 Losartan leukemia False 1 117 0 NA -1.133893
DB00678 Losartan hyperinsulinism False 1 26 0 NA -0.332513
DB00678 Losartan diabetes.mellitus.type.2 True 1 72 0 NA 0.208739
DB00678 Losartan arteriosclerosis False 1 38 0 NA -0.104426
DB00678 Losartan gastroenteritis False 1 122 0 NA -1.722673
DB00678 Losartan liver.cirrhosis False 1 24 0 NA -0.085309
DB00678 Losartan parkinson.disease False 1 30 0 NA -0.013839
DB00678 Losartan lupus.erythematosus.systemic False 1 75 0 NA 0.246717
DB00678 Losartan anemia.hemolytic False 1 29 0 NA -0.160000
DB00678 Losartan lymphoma False 1 24 0 NA 0.051031
DB00678 Losartan colitis.ulcerative False 1 55 0 NA -2.421268
DB00678 Losartan malabsorption.syndromes False 1 34 0 NA 0.004245
DB00678 Losartan colitis False 1 55 0 NA -2.404592
DB00678 Losartan anemia False 1 58 0 NA 0.326884
DB00678 Losartan sarcoma False 1 25 0 NA 0.026008
DB00678 Losartan multiple.sclerosis False 1 69 0 NA -2.163413
DB00678 Losartan coronary.disease False 1 37 0 NA -0.087562
DB00678 Losartan lymphoma.non.hodgkin False 1 22 0 NA 0.022029
DB00678 Losartan hematologic.diseases False 1 188 0 NA -1.020683
DB00678 Losartan skin.diseases False 1 278 0 NA -0.974483
DB00678 Losartan blood.coagulation.disorders False 1 40 0 NA -2.644117
DB00678 Losartan cardiovascular.diseases False 1 330 0 NA -0.717297
DB00678 Losartan amyotrophic.lateral.sclerosis False 1 21 0 NA -0.043980
DB00678 Losartan cardiomyopathy.dilated False 1 29 0 NA 0.026927
DB00678 Losartan lung.diseases False 1 71 0 NA -1.827575
DB00678 Losartan bacterial.infections False 1 26 0 NA -0.164163
DB00678 Losartan diabetes.mellitus.type.1 False 1 82 0 NA 0.254352
DB00678 Losartan arthritis.rheumatoid False 1 42 0 NA 0.158241
DB00678 Losartan liver.cirrhosis.biliary False 1 23 0 NA -0.099946
DB00678 Losartan coronary.artery.disease False 1 31 0 NA -0.242038
DB00678 Losartan leukemia.lymphoid False 1 66 0 NA 0.381613
DB00678 Losartan arterial.occlusive.diseases False 1 44 0 NA 0.002524
DB00678 Losartan heart.diseases False 1 167 0 NA -1.187040
DB01169 Arsenic.trioxide bone.diseases.metabolic False 7 27 0 NA -0.174099
DB01169 Arsenic.trioxide colorectal.neoplasms False 7 42 1 NA -1.978223
DB01169 Arsenic.trioxide eye.diseases False 7 231 0 NA -1.400638
DB01169 Arsenic.trioxide collagen.diseases False 7 25 0 NA 0.592464
DB01169 Arsenic.trioxide leukemia.myeloid.acute True 7 43 0 NA -1.133858
DB01169 Arsenic.trioxide kidney.diseases False 7 144 1 NA -0.918644
DB01169 Arsenic.trioxide epilepsy False 7 25 0 NA 1.457423
DB01169 Arsenic.trioxide joint.diseases False 7 79 0 NA 1.982047
DB01169 Arsenic.trioxide vascular.diseases False 7 181 1 NA -1.462736
DB01169 Arsenic.trioxide neuroendocrine.tumors False 7 24 0 NA -2.215637
DB01169 Arsenic.trioxide parkinsonian.disorders False 7 31 0 NA -2.207821
DB01169 Arsenic.trioxide hypopigmentation False 7 22 0 NA 0.899429
DB01169 Arsenic.trioxide intestinal.neoplasms False 7 42 1 NA -2.034159
DB01169 Arsenic.trioxide thyroid.diseases False 7 30 0 NA -1.545155
DB01169 Arsenic.trioxide diabetes.mellitus False 7 162 0 NA -0.890566
DB01169 Arsenic.trioxide dementia False 7 42 0 NA -0.453771
DB01169 Arsenic.trioxide mycobacterium.infections False 7 22 0 NA -0.405407
DB01169 Arsenic.trioxide arrhythmias.cardiac False 7 30 0 NA -1.414566
DB01169 Arsenic.trioxide prostatic.neoplasms False 7 61 0 NA -0.943795
DB01169 Arsenic.trioxide head.and.neck.neoplasms False 7 35 1 NA -1.634050
DB01169 Arsenic.trioxide inflammatory.bowel.diseases False 7 119 0 NA -0.902136
DB01169 Arsenic.trioxide gastrointestinal.neoplasms False 7 72 1 NA -1.640212
DB01169 Arsenic.trioxide asthma False 7 36 0 NA -1.426651
DB01169 Arsenic.trioxide alzheimer.disease False 7 29 0 NA -1.042840
DB01169 Arsenic.trioxide metabolism.inborn.errors False 7 289 0 NA -0.484775
DB01169 Arsenic.trioxide macular.degeneration False 7 44 0 NA -0.273176
DB01169 Arsenic.trioxide breast.neoplasms False 7 40 2 NA -3.056242
DB01169 Arsenic.trioxide hypersensitivity False 7 45 0 NA -1.182236
DB01169 Arsenic.trioxide adenocarcinoma False 7 32 1 NA -2.331079
DB01169 Arsenic.trioxide bone.diseases False 7 144 1 NA -1.700515
DB01169 Arsenic.trioxide insulin.resistance False 7 26 0 NA 0.939918
DB01169 Arsenic.trioxide motor.neuron.disease False 7 31 0 NA -0.772319
DB01169 Arsenic.trioxide crohn.disease False 7 71 0 NA 0.538029
DB01169 Arsenic.trioxide endocrine.system.diseases False 7 291 2 NA -2.223850
DB01169 Arsenic.trioxide keratosis False 7 21 0 NA -0.252279
DB01169 Arsenic.trioxide psoriasis False 7 54 0 NA -0.068397
DB01169 Arsenic.trioxide varicose.veins False 7 20 0 NA -3.045509
DB01169 Arsenic.trioxide spinal.cord.diseases False 7 59 0 NA -0.034903
DB01169 Arsenic.trioxide neoplasms False 7 482 2 NA -1.106563
DB01169 Arsenic.trioxide rheumatic.diseases False 7 59 0 NA 1.304073
DB01169 Arsenic.trioxide pancreatic.diseases False 7 24 0 NA -1.362549
DB01169 Arsenic.trioxide myocardial.ischemia False 7 43 0 NA 0.622799
DB01169 Arsenic.trioxide autoimmune.diseases False 7 243 1 NA -1.058445
DB01169 Arsenic.trioxide kidney.neoplasms False 7 20 1 NA 0.311475
DB01169 Arsenic.trioxide arthritis False 7 76 0 NA 1.902510
DB01169 Arsenic.trioxide leukemia True 7 117 0 NA -0.082120
DB01169 Arsenic.trioxide hyperinsulinism False 7 26 0 NA 0.969409
DB01169 Arsenic.trioxide diabetes.mellitus.type.2 False 7 72 0 NA -2.333046
DB01169 Arsenic.trioxide arteriosclerosis False 7 38 0 NA 0.843606
DB01169 Arsenic.trioxide gastroenteritis False 7 122 0 NA -0.871305
DB01169 Arsenic.trioxide liver.cirrhosis False 7 24 0 NA -0.610683
DB01169 Arsenic.trioxide parkinson.disease False 7 30 0 NA -2.173159
DB01169 Arsenic.trioxide lupus.erythematosus.systemic False 7 75 0 NA 0.276702
DB01169 Arsenic.trioxide anemia.hemolytic False 7 29 0 NA -1.105580
DB01169 Arsenic.trioxide lymphoma False 7 24 1 NA -1.669491
DB01169 Arsenic.trioxide colitis.ulcerative False 7 55 0 NA -0.914186
DB01169 Arsenic.trioxide malabsorption.syndromes False 7 34 0 NA -1.259199
DB01169 Arsenic.trioxide colitis False 7 55 0 NA -0.873545
DB01169 Arsenic.trioxide anemia False 7 58 0 NA 0.072075
DB01169 Arsenic.trioxide sarcoma False 7 25 0 NA -0.577988
DB01169 Arsenic.trioxide multiple.sclerosis False 7 69 1 NA -2.256745
DB01169 Arsenic.trioxide coronary.disease False 7 37 0 NA 0.576794
DB01169 Arsenic.trioxide lymphoma.non.hodgkin False 7 22 1 NA -1.724042
DB01169 Arsenic.trioxide hematologic.diseases False 7 188 1 NA -1.046476
DB01169 Arsenic.trioxide skin.diseases False 7 278 2 NA -3.381865
DB01169 Arsenic.trioxide blood.coagulation.disorders False 7 40 0 NA 0.232047
DB01169 Arsenic.trioxide cardiovascular.diseases False 7 330 1 NA -0.857502
DB01169 Arsenic.trioxide amyotrophic.lateral.sclerosis False 7 21 0 NA 1.130195
DB01169 Arsenic.trioxide cardiomyopathy.dilated False 7 29 0 NA 1.570401
DB01169 Arsenic.trioxide lung.diseases False 7 71 0 NA -0.853777
DB01169 Arsenic.trioxide bacterial.infections False 7 26 0 NA -0.107822
DB01169 Arsenic.trioxide diabetes.mellitus.type.1 False 7 82 0 NA 0.068949
DB01169 Arsenic.trioxide arthritis.rheumatoid False 7 42 0 NA 1.622838
DB01169 Arsenic.trioxide liver.cirrhosis.biliary False 7 23 0 NA -0.649884
DB01169 Arsenic.trioxide coronary.artery.disease False 7 31 0 NA 0.377736
DB01169 Arsenic.trioxide leukemia.lymphoid False 7 66 0 NA -1.011969
DB01169 Arsenic.trioxide arterial.occlusive.diseases False 7 44 0 NA 0.378813
DB01169 Arsenic.trioxide heart.diseases False 7 167 0 NA -0.733679
DB00674 Galantamine bone.diseases.metabolic False 14 27 0 NA 3.078844
DB00674 Galantamine colorectal.neoplasms False 14 42 0 0.0 2.010149
DB00674 Galantamine eye.diseases False 14 231 0 NA 0.541723
DB00674 Galantamine collagen.diseases False 14 25 0 NA -0.219618
DB00674 Galantamine leukemia.myeloid.acute False 14 43 0 0.0354774313033 3.530396
DB00674 Galantamine kidney.diseases False 14 144 0 NA 4.600235
DB00674 Galantamine epilepsy False 14 25 3 0.0549043845292 -5.148283
DB00674 Galantamine joint.diseases False 14 79 0 NA 3.828222
DB00674 Galantamine vascular.diseases False 14 181 0 NA 1.336419
DB00674 Galantamine neuroendocrine.tumors False 14 24 0 NA 2.452783
DB00674 Galantamine parkinsonian.disorders False 14 31 0 NA 2.414619
DB00674 Galantamine hypopigmentation False 14 22 0 NA 3.682157
DB00674 Galantamine intestinal.neoplasms False 14 42 0 NA 2.160309
DB00674 Galantamine thyroid.diseases False 14 30 0 NA 4.045546
DB00674 Galantamine diabetes.mellitus False 14 162 0 NA 2.832238
DB00674 Galantamine dementia False 14 42 0 NA -0.402818
DB00674 Galantamine mycobacterium.infections False 14 22 0 NA 3.956229
DB00674 Galantamine arrhythmias.cardiac False 14 30 0 NA 1.078821
DB00674 Galantamine prostatic.neoplasms False 14 61 0 0.105982642777 0.765894
DB00674 Galantamine head.and.neck.neoplasms False 14 35 0 NA 3.217338
DB00674 Galantamine inflammatory.bowel.diseases False 14 119 0 0.0 2.449251
DB00674 Galantamine gastrointestinal.neoplasms False 14 72 0 NA 2.564539
DB00674 Galantamine asthma False 14 36 0 0.0 1.143126
DB00674 Galantamine alzheimer.disease True 14 29 0 0.0588009303127 -0.666356
DB00674 Galantamine metabolism.inborn.errors False 14 289 0 NA 4.609538
DB00674 Galantamine macular.degeneration False 14 44 0 NA -1.139247
DB00674 Galantamine breast.neoplasms False 14 40 0 0.0430812300801 3.046596
DB00674 Galantamine hypersensitivity False 14 45 0 NA 1.495138
DB00674 Galantamine adenocarcinoma False 14 32 0 NA 0.865396
DB00674 Galantamine bone.diseases False 14 144 0 NA 3.026441
DB00674 Galantamine insulin.resistance False 14 26 0 NA 0.161313
DB00674 Galantamine motor.neuron.disease False 14 31 0 NA 1.261956
DB00674 Galantamine crohn.disease False 14 71 0 NA 1.725911
DB00674 Galantamine endocrine.system.diseases False 14 291 0 NA 3.633623
DB00674 Galantamine keratosis False 14 21 0 NA 2.395333
DB00674 Galantamine psoriasis False 14 54 0 -0.0390688259109 1.205150
DB00674 Galantamine varicose.veins False 14 20 0 NA 2.496709
DB00674 Galantamine spinal.cord.diseases False 14 59 0 NA 0.779114
DB00674 Galantamine neoplasms False 14 482 1 NA 2.219119
DB00674 Galantamine rheumatic.diseases False 14 59 0 NA 3.813211
DB00674 Galantamine pancreatic.diseases False 14 24 0 NA 0.573404
DB00674 Galantamine myocardial.ischemia False 14 43 0 NA 0.586532
DB00674 Galantamine autoimmune.diseases False 14 243 2 NA -1.239319
DB00674 Galantamine kidney.neoplasms False 14 20 0 NA 2.641697
DB00674 Galantamine arthritis False 14 76 0 NA 3.801509
DB00674 Galantamine leukemia False 14 117 0 NA 3.197396
DB00674 Galantamine hyperinsulinism False 14 26 0 NA 0.113337
DB00674 Galantamine diabetes.mellitus.type.2 False 14 72 0 0.0 1.414873
DB00674 Galantamine arteriosclerosis False 14 38 0 NA 0.694079
DB00674 Galantamine gastroenteritis False 14 122 0 NA 2.622767
DB00674 Galantamine liver.cirrhosis False 14 24 0 NA 3.187789
DB00674 Galantamine parkinson.disease False 14 30 0 0.0 2.385721
DB00674 Galantamine lupus.erythematosus.systemic False 14 75 0 NA 2.553938
DB00674 Galantamine anemia.hemolytic False 14 29 0 NA 3.156568
DB00674 Galantamine lymphoma False 14 24 0 NA 2.726360
DB00674 Galantamine colitis.ulcerative False 14 55 0 -0.0483939185115 1.426227
DB00674 Galantamine malabsorption.syndromes False 14 34 0 NA 3.889924
DB00674 Galantamine colitis False 14 55 0 NA 1.588625
DB00674 Galantamine anemia False 14 58 0 NA 4.382998
DB00674 Galantamine sarcoma False 14 25 0 -0.0943505039194 2.761380
DB00674 Galantamine multiple.sclerosis False 14 69 0 -0.106715264019 4.041946
DB00674 Galantamine coronary.disease False 14 37 0 NA 0.447907
DB00674 Galantamine lymphoma.non.hodgkin False 14 22 0 NA 2.738280
DB00674 Galantamine hematologic.diseases False 14 188 0 NA 4.346905
DB00674 Galantamine skin.diseases False 14 278 0 NA 3.556897
DB00674 Galantamine blood.coagulation.disorders False 14 40 0 NA 3.479234
DB00674 Galantamine cardiovascular.diseases False 14 330 0 NA 2.314715
DB00674 Galantamine amyotrophic.lateral.sclerosis False 14 21 0 NA 0.964855
DB00674 Galantamine cardiomyopathy.dilated False 14 29 0 NA 0.753414
DB00674 Galantamine lung.diseases False 14 71 1 NA -1.357555
DB00674 Galantamine bacterial.infections False 14 26 0 NA 2.129919
DB00674 Galantamine diabetes.mellitus.type.1 False 14 82 0 NA 3.181966
DB00674 Galantamine arthritis.rheumatoid False 14 42 0 0.0 3.581547
DB00674 Galantamine liver.cirrhosis.biliary False 14 23 0 NA 3.115719
DB00674 Galantamine coronary.artery.disease False 14 31 0 NA 0.137570
DB00674 Galantamine leukemia.lymphoid False 14 66 0 NA 2.574063
DB00674 Galantamine arterial.occlusive.diseases False 14 44 0 NA 1.040755
DB00674 Galantamine heart.diseases False 14 167 0 NA 1.447845
DB00675 Tamoxifen bone.diseases.metabolic False 2 27 0 NA 0.157111
DB00675 Tamoxifen colorectal.neoplasms False 2 42 0 -0.0475139977604 -1.384354
DB00675 Tamoxifen eye.diseases False 2 231 0 NA 0.905753
DB00675 Tamoxifen collagen.diseases False 2 25 0 NA -0.005680
DB00675 Tamoxifen leukemia.myeloid.acute False 2 43 0 0.102939529675 0.558520
DB00675 Tamoxifen kidney.diseases False 2 144 0 NA 0.678983
DB00675 Tamoxifen epilepsy False 2 25 0 -0.0105655095185 0.018189
DB00675 Tamoxifen joint.diseases False 2 79 0 NA 2.282226
DB00675 Tamoxifen vascular.diseases False 2 181 0 NA -0.764890
DB00675 Tamoxifen neuroendocrine.tumors False 2 24 0 NA -0.395741
DB00675 Tamoxifen parkinsonian.disorders False 2 31 0 NA 0.298170
DB00675 Tamoxifen hypopigmentation False 2 22 0 NA 0.679094
DB00675 Tamoxifen intestinal.neoplasms False 2 42 0 NA -1.317890
DB00675 Tamoxifen thyroid.diseases False 2 30 0 NA -0.407214
DB00675 Tamoxifen diabetes.mellitus False 2 162 0 NA -0.743467
DB00675 Tamoxifen dementia False 2 42 0 NA -0.106350
DB00675 Tamoxifen mycobacterium.infections False 2 22 0 NA 0.722848
DB00675 Tamoxifen arrhythmias.cardiac False 2 30 0 NA -0.134067
DB00675 Tamoxifen prostatic.neoplasms False 2 61 0 0.0 -1.676800
DB00675 Tamoxifen head.and.neck.neoplasms False 2 35 0 NA 0.236363
DB00675 Tamoxifen inflammatory.bowel.diseases False 2 119 0 0.0312501076751 -0.737816
DB00675 Tamoxifen gastrointestinal.neoplasms False 2 72 0 NA -1.134227
DB00675 Tamoxifen asthma False 2 36 0 -0.0422908949953 -1.956125
DB00675 Tamoxifen alzheimer.disease False 2 29 0 0.0427207339133 -0.572198
DB00675 Tamoxifen metabolism.inborn.errors False 2 289 0 NA 1.334400
DB00675 Tamoxifen macular.degeneration False 2 44 0 NA 0.014496
DB00675 Tamoxifen breast.neoplasms True 2 40 1 -0.121311913171 -2.480263
DB00675 Tamoxifen hypersensitivity False 2 45 0 NA -1.914236
DB00675 Tamoxifen adenocarcinoma False 2 32 0 NA 0.071942
DB00675 Tamoxifen bone.diseases False 2 144 0 NA -0.627760
DB00675 Tamoxifen insulin.resistance False 2 26 0 NA 0.096227
DB00675 Tamoxifen motor.neuron.disease False 2 31 0 NA 0.075657
DB00675 Tamoxifen crohn.disease False 2 71 0 NA -1.178666
DB00675 Tamoxifen endocrine.system.diseases False 2 291 0 NA -0.046237
DB00675 Tamoxifen keratosis False 2 21 0 NA 0.443667
DB00675 Tamoxifen psoriasis False 2 54 0 -0.0404610646912 1.643808
DB00675 Tamoxifen varicose.veins False 2 20 0 NA -0.012742
DB00675 Tamoxifen spinal.cord.diseases False 2 59 0 NA 0.550952
DB00675 Tamoxifen neoplasms False 2 482 1 NA -2.170826
DB00675 Tamoxifen rheumatic.diseases False 2 59 0 NA 1.875807
DB00675 Tamoxifen pancreatic.diseases False 2 24 0 NA -1.777996
DB00675 Tamoxifen myocardial.ischemia False 2 43 0 NA -1.030273
DB00675 Tamoxifen autoimmune.diseases False 2 243 0 NA -0.499142
DB00675 Tamoxifen kidney.neoplasms False 2 20 0 NA -0.595159
DB00675 Tamoxifen arthritis False 2 76 0 NA 2.213742
DB00675 Tamoxifen leukemia False 2 117 0 NA -0.581675
DB00675 Tamoxifen hyperinsulinism False 2 26 0 NA 0.081923
DB00675 Tamoxifen diabetes.mellitus.type.2 False 2 72 0 -0.000374063226807 -1.278615
DB00675 Tamoxifen arteriosclerosis False 2 38 0 NA -0.762378
DB00675 Tamoxifen gastroenteritis False 2 122 0 NA -0.710909
DB00675 Tamoxifen liver.cirrhosis False 2 24 0 NA -0.296323
DB00675 Tamoxifen parkinson.disease False 2 30 0 -0.0326479455595 0.316872
DB00675 Tamoxifen lupus.erythematosus.systemic False 2 75 0 NA 0.137726
DB00675 Tamoxifen anemia.hemolytic False 2 29 0 NA 0.313720
DB00675 Tamoxifen lymphoma False 2 24 0 NA -0.105869
DB00675 Tamoxifen colitis.ulcerative False 2 55 0 -0.0469082177621 -1.428287
DB00675 Tamoxifen malabsorption.syndromes False 2 34 0 NA 0.586385
DB00675 Tamoxifen colitis False 2 55 0 NA -1.279356
DB00675 Tamoxifen anemia False 2 58 0 NA 0.822503
DB00675 Tamoxifen sarcoma False 2 25 0 -0.117519166164 -1.679726
DB00675 Tamoxifen multiple.sclerosis False 2 69 0 -0.00163407700922 0.444907
DB00675 Tamoxifen coronary.disease False 2 37 0 NA -0.947172
DB00675 Tamoxifen lymphoma.non.hodgkin False 2 22 0 NA -0.097046
DB00675 Tamoxifen hematologic.diseases False 2 188 0 NA -0.313134
DB00675 Tamoxifen skin.diseases False 2 278 1 NA -2.657576
DB00675 Tamoxifen blood.coagulation.disorders False 2 40 0 NA 0.777763
DB00675 Tamoxifen cardiovascular.diseases False 2 330 1 NA -2.567518
DB00675 Tamoxifen amyotrophic.lateral.sclerosis False 2 21 0 NA 0.917636
DB00675 Tamoxifen cardiomyopathy.dilated False 2 29 0 NA -2.043759
DB00675 Tamoxifen lung.diseases False 2 71 0 NA -1.231579
DB00675 Tamoxifen bacterial.infections False 2 26 0 NA 0.915294
DB00675 Tamoxifen diabetes.mellitus.type.1 False 2 82 0 NA -1.264669
DB00675 Tamoxifen arthritis.rheumatoid False 2 42 0 -0.0648850030149 1.523424
