disease group.name group palliative label
arthritis Sulindac DB00605 1 1
arthritis Triamcinolone DB00620 0 1
arthritis.rheumatoid Auranofin DB00995 0 1
arthritis.rheumatoid Azathioprine DB00993 0.6 1
arthritis.rheumatoid Celecoxib DB00482 0 1
arthritis.rheumatoid Chloroquine DB00608 0 0
arthritis.rheumatoid Cyclosporine DB00091 0 1
arthritis.rheumatoid Diclofenac DB00586 1 1
arthritis.rheumatoid Etodolac DB00749 1 1
arthritis.rheumatoid Hydrocortisone DB00741 0 0
arthritis.rheumatoid Hydroxychloroquine DB01611 0 1
arthritis.rheumatoid Ibuprofen DB01050 1 1
arthritis.rheumatoid Indomethacin DB00328 0 1
arthritis.rheumatoid Ketoprofen DB01009 1 1
arthritis.rheumatoid Leflunomide DB01097 1 1
arthritis.rheumatoid Methotrexate DB00563 0 1
arthritis.rheumatoid Naproxen DB00788 0.6 1
arthritis.rheumatoid Prednisolone DB00860 0 0
arthritis.rheumatoid Sulfasalazine DB00795 0 0
arthritis.rheumatoid Sulindac DB00605 1 1
asthma Aminophylline DB01223 0.6 1
asthma Arformoterol DB01274 0 0
asthma Atropine DB00572 0 0
asthma Cromoglicic.acid DB01003 0 0
asthma Dexamethasone DB01234 0 1
asthma Dyphylline DB00651 0 1
asthma Ephedrine DB01364 0 1
asthma Fluticasone.Propionate DB00588 0 0
asthma Hydrocortisone DB00741 0 0
asthma Isoetharine DB00221 0 0
asthma Isoproterenol DB01064 0 0
asthma Ketotifen DB00920 0 0
asthma Montelukast DB00471 0 1
asthma Nedocromil DB00716 0 0
asthma Oxtriphylline DB01303 0.4 0
asthma Prednisolone DB00860 0 0
asthma Prednisone DB00635 0 1
asthma Pseudoephedrine DB00852 0 0
asthma Salbutamol DB01001 0.4 0
asthma Theophylline DB00277 1 1
asthma Tiotropium DB01409 0 0
asthma Zafirlukast DB00549 0 1
asthma Zileuton DB00744 0 1
autoimmune.diseases Methylprednisolone DB00959 0 1
autoimmune.diseases Prednisone DB00635 0 1
bacterial.infections Cilastatin DB01597 0 0
bacterial.infections Levofloxacin DB01137 0 1
bacterial.infections Tetracycline DB00759 0 1
blood.coagulation.disorders Phytonadione DB01022 0 1
blood.coagulation.disorders Tranexamic.Acid DB00302 0 1
bone.diseases Calcitriol DB00136 0 1
bone.diseases Pamidronate DB00282 0 1
bone.diseases Zoledronate DB00399 0 1
bone.diseases.metabolic Calcidiol DB00146 0 0
breast.neoplasms Aminoglutethimide DB00357 0 0
breast.neoplasms Capecitabine DB01101 0 1
breast.neoplasms Conjugated.Estrogens DB00286 0 0
breast.neoplasms Dexrazoxane DB00380 0 0
breast.neoplasms Diethylstilbestrol DB00255 0 0
breast.neoplasms Docetaxel DB01248 0 1
breast.neoplasms Doxorubicin DB00997 0 1
breast.neoplasms Epirubicin DB00445 0 1
breast.neoplasms Estradiol DB00783 0.6 1
breast.neoplasms Fluoxymesterone DB01185 1 1
breast.neoplasms Goserelin DB00014 0 0
breast.neoplasms Letrozole DB01006 0 1
breast.neoplasms Medroxyprogesterone DB00603 0 0
breast.neoplasms Megestrol DB00351 0.4 0
breast.neoplasms Methotrexate DB00563 0 1
breast.neoplasms Methyltestosterone DB06710 0 1
breast.neoplasms Tamoxifen DB00675 0 1
breast.neoplasms Vinblastine DB00570 0 1
breast.neoplasms Vinorelbine DB00361 0 0
cardiomyopathy.dilated Amrinone DB01427 0 0
cardiovascular.diseases Atorvastatin DB01076 0 1
cardiovascular.diseases Cholecalciferol DB00169 0 1
cardiovascular.diseases Lovastatin DB00227 0 1
cardiovascular.diseases Pravastatin DB00175 0 1
cardiovascular.diseases Simvastatin DB00641 0 1
colitis Mesalazine DB00244 0 1
colitis Sulfasalazine DB00795 0 1
colitis.ulcerative Balsalazide DB01014 0 1
colitis.ulcerative Hydrocortisone DB00741 0.4 0
colitis.ulcerative Mercaptopurine DB01033 0 0
colitis.ulcerative Mesalazine DB00244 0 1
colitis.ulcerative Nicotine DB00184 0 0
colitis.ulcerative Olsalazine DB01250 0 1
colitis.ulcerative Prednisolone DB00860 0 0
colitis.ulcerative Prednisone DB00635 0 1
colitis.ulcerative Sulfasalazine DB00795 0 1
collagen.diseases Prednisolone DB00860 0 0
collagen.diseases Prednisone DB00635 0 1
colorectal.neoplasms Floxuridine DB00322 0 0
coronary.artery.disease Atorvastatin DB01076 0 1
coronary.artery.disease Fenofibrate DB01039 0 0
coronary.artery.disease Lovastatin DB00227 0 1
coronary.artery.disease Pravastatin DB00175 0 0
coronary.artery.disease Probucol DB01599 0 0
coronary.artery.disease Simvastatin DB00641 0 1
coronary.disease Atorvastatin DB01076 0 1
coronary.disease Eptifibatide DB00063 0 1
coronary.disease Fenofibrate DB01039 0 0
coronary.disease Isosorbide.Dinitrate DB00883 0 1
coronary.disease Isosorbide.Mononitrate DB01020 0 1
coronary.disease Lovastatin DB00227 0 1
coronary.disease Perindopril DB00790 0 1
coronary.disease Sulfinpyrazone DB01138 0 0
coronary.disease Tirofiban DB00775 0 1
crohn.disease Cholecalciferol DB00169 0 0
crohn.disease Mercaptopurine DB01033 0 0
crohn.disease Methotrexate DB00563 0 0
crohn.disease Prednisolone DB00860 0 0
crohn.disease Sulfasalazine DB00795 0 0
dementia Citalopram DB00215 0 0
dementia Donepezil DB00843 0.4 1
dementia Quetiapine DB01224 0 0
dementia Risperidone DB00734 0 0
dementia Rivastigmine DB00989 0 1
diabetes.mellitus Acarbose DB00284 0 1
diabetes.mellitus Chlorpropamide DB00672 0 1
diabetes.mellitus Gliclazide DB01120 0 0
diabetes.mellitus Glyburide DB01016 0 1
diabetes.mellitus Insulin.Aspart DB01306 0 1
diabetes.mellitus Insulin.Lispro DB00046 0 1
diabetes.mellitus Metformin DB00331 0 1
diabetes.mellitus Miglitol DB00491 0 1
diabetes.mellitus Nateglinide DB00731 0 1
diabetes.mellitus Orlistat DB01083 0 0
diabetes.mellitus Pioglitazone DB01132 0 1
diabetes.mellitus Rosiglitazone DB00412 0 1
diabetes.mellitus Tolazamide DB00839 0 1
diabetes.mellitus.type.1 Insulin.Aspart DB01306 0 1
diabetes.mellitus.type.1 Insulin.Lispro DB00046 0 1
diabetes.mellitus.type.2 Acarbose DB00284 0 1
diabetes.mellitus.type.2 Atorvastatin DB01076 0 0
diabetes.mellitus.type.2 Chlorpropamide DB00672 0 1
diabetes.mellitus.type.2 Gliclazide DB01120 0 0
diabetes.mellitus.type.2 Glimepiride DB00222 0 1
diabetes.mellitus.type.2 Glyburide DB01016 0 1
diabetes.mellitus.type.2 Insulin.Aspart DB01306 0 1
diabetes.mellitus.type.2 Insulin.Lispro DB00046 0 1
diabetes.mellitus.type.2 Irbesartan DB01029 0 1
diabetes.mellitus.type.2 Liraglutide DB06655 0 0
diabetes.mellitus.type.2 Losartan DB00678 0 0
diabetes.mellitus.type.2 Metformin DB00331 0 1
diabetes.mellitus.type.2 Miglitol DB00491 0 1
diabetes.mellitus.type.2 Nateglinide DB00731 0 1
diabetes.mellitus.type.2 Orlistat DB01083 0 0
diabetes.mellitus.type.2 Pioglitazone DB01132 0 1
diabetes.mellitus.type.2 Rosiglitazone DB00412 0 1
diabetes.mellitus.type.2 Simvastatin DB00641 0 0
diabetes.mellitus.type.2 Sitagliptin DB01261 0 1
diabetes.mellitus.type.2 Tolazamide DB00839 0 1
diabetes.mellitus.type.2 Tolbutamide DB01124 0 1
endocrine.system.diseases Hydrocortisone DB00741 0 0
endocrine.system.diseases Progesterone DB00396 0 1
epilepsy Acetazolamide DB00819 0 1
epilepsy Carbamazepine DB00564 0 1
epilepsy Clonazepam DB01068 0 1
epilepsy Diazepam DB00829 0 0
epilepsy Felbamate DB00949 0 1
epilepsy Gabapentin DB00996 0 1
epilepsy Lamotrigine DB00555 0 1
epilepsy Levetiracetam DB01202 0 1
epilepsy Pregabalin DB00230 0 1
epilepsy Primidone DB00794 0 1
epilepsy Rufinamide DB06201 0 1
epilepsy Topiramate DB00273 0 1
epilepsy Valproic.Acid DB00313 0 1
epilepsy Vigabatrin DB01080 0 1
eye.diseases Prednisone DB00635 0 1
gastroenteritis Loperamide DB00836 1 1
gastrointestinal.neoplasms Doxorubicin DB00997 0 1
gastrointestinal.neoplasms Imatinib DB00619 0 1
head.and.neck.neoplasms Docetaxel DB01248 0 1
head.and.neck.neoplasms Hydroxyurea DB01005 0 1
head.and.neck.neoplasms Pilocarpine DB01085 1 1
head.and.neck.neoplasms Vinblastine DB00570 0 0
heart.diseases Propranolol DB00571 0 1
hematologic.diseases Prednisolone DB00860 0 0
hematologic.diseases Prednisone DB00635 0 1
hyperinsulinism Diazoxide DB01119 0 1
hypersensitivity Chlorpheniramine DB01114 0.6 1
hypersensitivity Cyproheptadine DB00434 0 1
hypersensitivity Diphenhydramine DB01075 1 1
hypersensitivity Histamine.Phosphate DB00667 0 0
hypersensitivity Ketotifen DB00920 1 1
hypersensitivity Prednisolone DB00860 0 1
hypersensitivity Prednisone DB00635 0 1
hypersensitivity Promethazine DB01069 0 1
hypopigmentation Monobenzone DB00600 0 1
inflammatory.bowel.diseases Mesalazine DB00244 0 1
inflammatory.bowel.diseases Sulfasalazine DB00795 0 1
insulin.resistance Hydrocortisone DB00741 0 0
insulin.resistance Pioglitazone DB01132 0 1
insulin.resistance Rosiglitazone DB00412 0 1
intestinal.neoplasms Octreotide DB00104 0 1
joint.diseases Ciprofloxacin DB00537 0 1
joint.diseases Diclofenac DB00586 1 1
joint.diseases Indomethacin DB00328 0 1
joint.diseases Naproxen DB00788 0.6 1
keratosis Diclofenac DB00586 0 0
kidney.diseases Allopurinol DB00437 0.6 1
kidney.diseases Enalapril DB00584 0 0
kidney.diseases Furosemide DB00695 0 1
kidney.diseases Hydrochlorothiazide DB00999 0 0
kidney.diseases Irbesartan DB01029 0 1
kidney.diseases Losartan DB00678 0 0
kidney.neoplasms Lomustine DB01206 0 0
kidney.neoplasms Vinblastine DB00570 0 0
leukemia Arsenic.trioxide DB01169 0 1
leukemia Cytarabine DB00987 0 1
leukemia Daunorubicin DB00694 0 0
leukemia Doxorubicin DB00997 0 1
leukemia Imatinib DB00619 0 1
leukemia Mercaptopurine DB01033 0 1
leukemia Methotrexate DB00563 0 0
leukemia Vincristine DB00541 0 1
leukemia.lymphoid Teniposide DB00444 0 1
leukemia.myeloid.acute Arsenic.trioxide DB01169 0 1
leukemia.myeloid.acute Cytarabine DB00987 0 1
leukemia.myeloid.acute Daunorubicin DB00694 0 0
leukemia.myeloid.acute Doxorubicin DB00997 0 1
liver.cirrhosis Ethacrynic.acid DB00903 0 1
liver.cirrhosis Furosemide DB00695 0 1
liver.cirrhosis Spironolactone DB00421 0 1
liver.cirrhosis Tolvaptan DB06212 0.4 0
liver.cirrhosis Torasemide DB00214 0 0
liver.cirrhosis.biliary Colchicine DB01394 0 0
lung.diseases Budesonide DB01222 0 0
lupus.erythematosus.systemic Azathioprine DB00993 0 0
lupus.erythematosus.systemic Cyclosporine DB00091 0 0
lupus.erythematosus.systemic Hydroxychloroquine DB01611 0 1
lupus.erythematosus.systemic Prednisolone DB00860 0 0
lupus.erythematosus.systemic Prednisone DB00635 0 1
lymphoma Bleomycin DB00290 0.4 1
lymphoma Carmustine DB00262 0.6 1
lymphoma Cladribine DB00242 0 0
lymphoma Cytarabine DB00987 0 0
lymphoma Doxorubicin DB00997 0 1
lymphoma Epirubicin DB00445 0 0
lymphoma Fludarabine DB01073 0 0
lymphoma Lomustine DB01206 0 1
lymphoma Mercaptopurine DB01033 0 0
lymphoma Methotrexate DB00563 0 1
lymphoma Plerixafor DB06809 0 1
lymphoma Prednisolone DB00860 0 0
lymphoma Prednisone DB00635 0.6 1
lymphoma Vinblastine DB00570 0.6 1
lymphoma Vincristine DB00541 0 1
lymphoma.non.hodgkin Bleomycin DB00290 1 1
lymphoma.non.hodgkin Carmustine DB00262 0.6 1
lymphoma.non.hodgkin Cladribine DB00242 0 0
lymphoma.non.hodgkin Cytarabine DB00987 0 0
lymphoma.non.hodgkin Fludarabine DB01073 0 0
lymphoma.non.hodgkin Lomustine DB01206 0 1
lymphoma.non.hodgkin Mercaptopurine DB01033 0 0
lymphoma.non.hodgkin Mitoxantrone DB01204 0 0
lymphoma.non.hodgkin Plerixafor DB06809 0 1
lymphoma.non.hodgkin Prednisolone DB00860 0 0
lymphoma.non.hodgkin Prednisone DB00635 0 0
lymphoma.non.hodgkin Vincristine DB00541 0 1
macular.degeneration Pegaptanib DB04895 0 1
malabsorption.syndromes Vitamin.A DB00162 0 0
metabolism.inborn.errors Biotin DB00121 0 0
motor.neuron.disease Riluzole DB00740 0 1
multiple.sclerosis Azathioprine DB00993 0 0
multiple.sclerosis Baclofen DB00181 1 1
multiple.sclerosis Cladribine DB00242 0 0
multiple.sclerosis Dantrolene DB01219 0 0
multiple.sclerosis Fingolimod DB08868 0 1
multiple.sclerosis Mitoxantrone DB01204 0 1
multiple.sclerosis Prednisolone DB00860 0 0
multiple.sclerosis Prednisone DB00635 0 0
multiple.sclerosis Tizanidine DB00697 0 0
mycobacterium.infections Rifabutin DB00615 0 1
myocardial.ischemia Bivalirudin DB00006 0 0
myocardial.ischemia Enoxaparin DB01225 0 1
myocardial.ischemia Eptifibatide DB00063 0 1
myocardial.ischemia Tirofiban DB00775 0 1
neoplasms Bleomycin DB00290 1 1
neoplasms Capecitabine DB01101 0 1
neoplasms Doxorubicin DB00997 0 1
neoplasms Epirubicin DB00445 0 1
neoplasms Gefitinib DB00317 0 1
neoplasms Imatinib DB00619 0 1
neoplasms Octreotide DB00104 0.6 1
neoplasms Sunitinib DB01268 0 1
neoplasms Vincristine DB00541 0 1
neuroendocrine.tumors Octreotide DB00104 0.6 1
neuroendocrine.tumors Sunitinib DB01268 0 1
pancreatic.diseases Bentiromide DB00522 0 0
parkinson.disease Amantadine DB00915 0 1
parkinson.disease Apomorphine DB00714 0 1
parkinson.disease Benzatropine DB00245 0 1
parkinson.disease Biperiden DB00810 0 0
parkinson.disease Bromocriptine DB01200 0.6 1
parkinson.disease Cabergoline DB00248 0.4 0
parkinson.disease Carbidopa DB00190 1 1
parkinson.disease Entacapone DB00494 0 1
parkinson.disease Levodopa DB01235 0 0
parkinson.disease Procyclidine DB00387 0 0
parkinson.disease Rasagiline DB01367 1 1
parkinson.disease Rivastigmine DB00989 0 1
parkinson.disease Ropinirole DB00268 1 1
parkinson.disease Rotigotine DB05271 0 1
parkinson.disease Selegiline DB01037 0 0
parkinson.disease Trihexyphenidyl DB00376 0 1
parkinsonian.disorders Amantadine DB00915 0 1
parkinsonian.disorders Carbidopa DB00190 1 1
parkinsonian.disorders Levodopa DB01235 0 0
parkinsonian.disorders Ropinirole DB00268 1 1
parkinsonian.disorders Trihexyphenidyl DB00376 0 1
prostatic.neoplasms Aminoglutethimide DB00357 0 0
prostatic.neoplasms Bicalutamide DB01128 0 1
prostatic.neoplasms Chlorotrianisene DB00269 0.4 0
prostatic.neoplasms Diethylstilbestrol DB00255 0 0
prostatic.neoplasms Doxorubicin DB00997 0 0
prostatic.neoplasms Estradiol DB00783 0.6 1
prostatic.neoplasms Estramustine DB01196 1 1
prostatic.neoplasms Finasteride DB01216 0.4 0
prostatic.neoplasms Flutamide DB00499 0 1
prostatic.neoplasms Goserelin DB00014 0.6 1
prostatic.neoplasms Leuprolide DB00007 0.6 1
psoriasis Acitretin DB00459 0 1
psoriasis Cholecalciferol DB00169 0 0
psoriasis Cyclosporine DB00091 0 1
psoriasis Hydrocortisone DB00741 1 1
psoriasis Hydroxyurea DB01005 0 0
psoriasis Methotrexate DB00563 0.6 1
psoriasis Mycophenolic.acid DB01024 0 0
psoriasis Prednisolone DB00860 0 0
psoriasis Salicyclic.acid DB00936 0 0
psoriasis Tazarotene DB00799 0 1
rheumatic.diseases Prednisolone DB00860 0 0
rheumatic.diseases Prednisone DB00635 0 1
sarcoma Bleomycin DB00290 0 0
sarcoma Dacarbazine DB00851 0 0
sarcoma Doxorubicin DB00997 0 1
sarcoma Vincristine DB00541 0 0
skin.diseases Alitretinoin DB00523 0 1
skin.diseases Calcipotriol DB02300 0 1
skin.diseases Fluocinonide DB01047 0 1
skin.diseases Hydrocortisone DB00741 1 1
skin.diseases Pimecrolimus DB00337 0 1
skin.diseases Prednisolone DB00860 0 1
skin.diseases Prednisone DB00635 0 1
spinal.cord.diseases Baclofen DB00181 1 1
thyroid.diseases Liothyronine DB00279 0 1
varicose.veins Sodium.Tetradecyl.Sulfate DB00464 0 1
vascular.diseases Niacin DB00627 0 1
vascular.diseases Papaverine DB01113 0 1
vascular.diseases Pentoxifylline DB00806 0 1
